
========================================

    *** Synset Distribution ***

    symbion_pandora.n.01  pct_total=0.00|pct_this=0.00|total_hits=0|this_hits=0|below_hits=0|total_found=0|this_found=0|below_found=0|total_not_found=237|this_not_found=237|below_not_found=0
    sponge.n.04  pct_total=2.12|pct_this=2.12|total_hits=72711|this_hits=72711|below_hits=0|total_found=198|this_found=198|below_found=0|total_not_found=486|this_not_found=486|below_not_found=0
    rotifer.n.01  pct_total=0.21|pct_this=0.21|total_hits=250|this_hits=250|below_hits=0|total_found=20|this_found=20|below_found=0|total_not_found=208|this_not_found=208|below_not_found=0
    phoronid.n.01  pct_total=0.01|pct_this=0.01|total_hits=4|this_hits=4|below_hits=0|total_found=1|this_found=1|below_found=0|total_not_found=227|this_not_found=227|below_not_found=0
    peanut_worm.n.01  pct_total=0.02|pct_this=0.02|total_hits=6|this_hits=6|below_hits=0|total_found=2|this_found=2|below_found=0|total_not_found=463|this_not_found=463|below_not_found=0
    mollusk.n.01  pct_total=1.50|pct_this=1.50|total_hits=3411|this_hits=3411|below_hits=0|total_found=140|this_found=140|below_found=0|total_not_found=544|this_not_found=544|below_not_found=0
    entoproct.n.01  pct_total=0.01|pct_this=0.01|total_hits=1|this_hits=1|below_hits=0|total_found=1|this_found=1|below_found=0|total_not_found=227|this_not_found=227|below_not_found=0
    ectoproct.n.01  pct_total=0.01|pct_this=0.01|total_hits=2|this_hits=2|below_hits=0|total_found=1|this_found=1|below_found=0|total_not_found=227|this_not_found=227|below_not_found=0
    echinoderm.n.01  pct_total=0.04|pct_this=0.04|total_hits=63|this_hits=63|below_hits=0|total_found=4|this_found=4|below_found=0|total_not_found=224|this_not_found=224|below_not_found=0
    ctenophore.n.01  pct_total=0.01|pct_this=0.01|total_hits=14|this_hits=14|below_hits=0|total_found=1|this_found=1|below_found=0|total_not_found=464|this_not_found=464|below_not_found=0
    coelenterate.n.01  pct_total=0.14|pct_this=0.14|total_hits=52|this_hits=52|below_hits=0|total_found=13|this_found=13|below_found=0|total_not_found=443|this_not_found=443|below_not_found=0
    bryozoan.n.01  pct_total=0.02|pct_this=0.02|total_hits=15|this_hits=15|below_hits=0|total_found=2|this_found=2|below_found=0|total_not_found=1165|this_not_found=1165|below_not_found=0
    brachiopod.n.01  pct_total=0.19|pct_this=0.19|total_hits=72|this_hits=72|below_hits=0|total_found=18|this_found=18|below_found=0|total_not_found=675|this_not_found=675|below_not_found=0
    arthropod.n.01  pct_total=0.10|pct_this=0.10|total_hits=82|this_hits=82|below_hits=0|total_found=9|this_found=9|below_found=0|total_not_found=219|this_not_found=219|below_not_found=0
  insectivore.n.02  pct_total=0.02|pct_this=0.02|total_hits=9|this_hits=9|below_hits=0|total_found=2|this_found=2|below_found=0|total_not_found=226|this_not_found=226|below_not_found=0
  homeotherm.n.01  pct_total=0.10|pct_this=0.10|total_hits=21|this_hits=21|below_hits=0|total_found=9|this_found=9|below_found=0|total_not_found=675|this_not_found=675|below_not_found=0
  hexapod.n.01  pct_total=0.11|pct_this=0.11|total_hits=182|this_hits=182|below_hits=0|total_found=10|this_found=10|below_found=0|total_not_found=218|this_not_found=218|below_not_found=0
  herbivore.n.01  pct_total=0.22|pct_this=0.22|total_hits=270|this_hits=270|below_hits=0|total_found=21|this_found=21|below_found=0|total_not_found=207|this_not_found=207|below_not_found=0
  giant.n.01  pct_total=1.95|pct_this=1.95|total_hits=15564|this_hits=15564|below_hits=0|total_found=182|this_found=182|below_found=0|total_not_found=46|this_not_found=46|below_not_found=0
  game.n.04  pct_total=2.23|pct_this=2.13|total_hits=63419|this_hits=63386|below_hits=33|total_found=208|this_found=199|below_found=9|total_not_found=494|this_not_found=29|below_not_found=465
    game_bird.n.01  pct_total=0.03|pct_this=0.03|total_hits=7|this_hits=7|below_hits=0|total_found=3|this_found=3|below_found=0|total_not_found=234|this_not_found=234|below_not_found=0
